source_ip,total_requests,failed_login_ratio,admin_ratio,unique_paths,anomaly_score,is_anomaly
203.0.113.51,25,0,1.0,1,0.7275357428937408,True
203.0.113.52,40,0,0.0,1,0.7069155945239963,True
203.0.113.50,20,1,0.0,1,0.7069155945239963,True
192.0.2.75,8,0,0.0,1,0.6960233627531777,False
192.0.2.69,6,0,0.5,2,0.625197464787594,False
192.0.2.71,5,0,0.4,2,0.5847743007334346,False
192.0.2.77,6,0,0.0,1,0.5651737643321633,False
192.0.2.51,6,0,0.0,1,0.5651737643321633,False
192.0.2.53,6,0,0.0,1,0.5651737643321633,False
192.0.2.68,6,0,0.0,1,0.5651737643321633,False
192.0.2.67,11,0,0.0909090909090909,2,0.5465613823981611,False
192.0.2.64,12,0,0.3333333333333333,2,0.5439603149295413,False
192.0.2.73,5,0,0.2,2,0.5427553113722458,False
192.0.2.58,10,0,0.1,2,0.5266455682837257,False
192.0.2.60,12,0,0.1666666666666666,2,0.5183647653318616,False
192.0.2.65,12,0,0.1666666666666666,2,0.5183647653318616,False
192.0.2.54,11,0,0.3636363636363636,2,0.5090683897976405,False
192.0.2.66,8,0,0.125,2,0.5036342954794387,False
192.0.2.70,6,0,0.3333333333333333,2,0.4708748986704525,False
192.0.2.57,8,0,0.25,2,0.46208030045694604,False
192.0.2.76,10,0,0.3,2,0.4620611122069583,False
192.0.2.63,9,0,0.2222222222222222,2,0.4615013036327753,False
192.0.2.59,11,0,0.2727272727272727,2,0.4538007714802909,False
192.0.2.52,11,0,0.2727272727272727,2,0.4538007714802909,False
192.0.2.74,7,0,0.2857142857142857,2,0.45002548620557964,False
192.0.2.62,7,0,0.2857142857142857,2,0.45002548620557964,False
192.0.2.78,9,0,0.3333333333333333,2,0.4355035049592733,False
192.0.2.61,9,0,0.3333333333333333,2,0.4355035049592733,False
192.0.2.72,9,0,0.3333333333333333,2,0.4355035049592733,False
192.0.2.50,6,0,0.1666666666666666,2,0.43054163239730264,False
192.0.2.55,6,0,0.1666666666666666,2,0.43054163239730264,False
192.0.2.56,6,0,0.1666666666666666,2,0.43054163239730264,False
192.0.2.79,6,0,0.1666666666666666,2,0.43054163239730264,False
